period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
101000006,2012/1/20,?亦??Ⅳ????,32,39,5,19,42,37,,,
101000006,2012/1/20,?亦??Ⅳ????,33,43,9,32,27,49,,,
101000006,2012/1/20,?亦??Ⅳ????,33,47,21,12,3,39,,,
101000006,2012/1/20,?亦??Ⅳ????,33,46,24,28,25,44,,,
101000006,2012/1/20,?亦??Ⅳ????,33,40,21,24,35,38,,,
101000006,2012/1/20,?亦??Ⅳ????,33,18,41,22,10,5,,,
101000006,2012/1/20,?亦??Ⅳ????,34,40,3,13,41,21,,,
101000006,2012/1/20,?亦??Ⅳ????,34,22,18,39,6,26,,,
101000006,2012/1/20,?亦??Ⅳ????,35,39,46,32,17,18,,,
101000006,2012/1/20,?亦??Ⅳ????,35,31,9,1,23,43,,,
101000006,2012/1/20,?亦??Ⅳ????,35,39,17,19,32,15,,,
101000006,2012/1/20,?亦??Ⅳ????,36,32,40,14,21,35,,,
101000006,2012/1/20,?亦??Ⅳ????,36,39,38,25,28,11,,,
101000006,2012/1/20,?亦??Ⅳ????,36,14,35,25,19,10,,,
101000006,2012/1/20,?亦??Ⅳ????,36,28,41,20,24,49,,,
101000006,2012/1/20,?亦??Ⅳ????,37,27,9,38,36,25,,,
101000006,2012/1/20,?亦??Ⅳ????,37,39,17,13,21,28,,,
101000006,2012/1/20,?亦??Ⅳ????,37,33,8,25,7,27,,,
101000006,2012/1/20,?亦??Ⅳ????,37,34,25,46,32,4,,,
101000006,2012/1/20,?亦??Ⅳ????,37,9,10,11,19,24,,,
101000006,2012/1/20,?亦??Ⅳ????,38,2,45,22,1,34,,,
101000006,2012/1/20,?亦??Ⅳ????,39,41,24,6,10,22,,,
101000006,2012/1/20,?亦??Ⅳ????,40,13,47,9,26,38,,,
101000006,2012/1/20,?亦??Ⅳ????,40,22,29,18,7,46,,,
101000006,2012/1/20,?亦??Ⅳ????,41,32,25,43,35,47,,,
101000006,2012/1/20,?亦??Ⅳ????,41,15,30,7,42,2,,,
101000006,2012/1/20,?亦??Ⅳ????,42,45,2,37,34,6,,,
101000006,2012/1/20,?亦??Ⅳ????,45,46,21,19,7,2,,,
101000006,2012/1/20,?亦??Ⅳ????,45,47,17,28,10,11,,,
101000006,2012/1/20,?亦??Ⅳ????,45,15,48,42,2,35,,,
101000006,2012/1/20,?亦??Ⅳ????,45,4,24,5,8,44,,,
101000006,2012/1/20,?亦??Ⅳ????,46,2,7,28,32,12,,,
101000006,2012/1/20,?亦??Ⅳ????,46,49,38,11,3,4,,,
101000006,2012/1/20,?亦??Ⅳ????,47,26,37,21,27,29,,,
101000006,2012/1/20,?亦??Ⅳ????,47,43,21,42,48,30,,,
101000006,2012/1/20,?亦??Ⅳ????,47,18,3,49,12,4,,,
101000006,2012/1/20,?亦??Ⅳ????,48,31,3,8,9,25,,,
101000006,2012/1/20,?亦??Ⅳ????,48,17,7,49,47,5,,,
101000006,2012/1/20,?亦??Ⅳ????,49,44,18,47,31,6,,,
101000006,2012/1/20,?亦??Ⅳ????,49,36,5,34,10,25,,,
101000006,2012/1/20,?亦??Ⅳ????,49,47,9,44,12,29,,,
101000006,2012/1/20,?亦??Ⅳ????,49,31,38,1,32,43,,,
101000007,2012/1/24,?亦??Ⅳ????,1,25,45,30,28,40,,,
101000007,2012/1/24,?亦??Ⅳ????,1,17,33,22,12,9,,,
101000007,2012/1/24,?亦??Ⅳ????,1,22,28,16,2,13,,,
101000007,2012/1/24,?亦??Ⅳ????,2,39,33,16,27,11,,,
101000007,2012/1/24,?亦??Ⅳ????,7,34,32,2,21,1,,,
101000007,2012/1/24,?亦??Ⅳ????,9,20,31,35,29,36,,,
101000007,2012/1/24,?亦??Ⅳ????,10,43,2,28,17,8,,,
101000007,2012/1/24,?亦??Ⅳ????,11,41,33,37,9,4,,,
101000007,2012/1/24,?亦??Ⅳ????,11,46,36,19,41,47,,,
101000007,2012/1/24,?亦??Ⅳ????,12,22,11,32,45,48,,,
101000007,2012/1/24,?亦??Ⅳ????,12,25,45,49,11,2,,,
101000007,2012/1/24,?亦??Ⅳ????,14,18,42,36,46,22,,,
101000007,2012/1/24,?亦??Ⅳ????,14,15,32,1,12,24,,,
101000007,2012/1/24,?亦??Ⅳ????,17,4,35,36,5,8,,,
101000007,2012/1/24,?亦??Ⅳ????,20,1,14,46,34,21,,,
101000007,2012/1/24,?亦??Ⅳ????,23,17,16,18,32,39,,,
101000007,2012/1/24,?亦??Ⅳ????,23,19,7,34,24,11,,,
101000007,2012/1/24,?亦??Ⅳ????,33,37,34,43,1,28,,,
